Title,Rating,Oscars,Total Nominations and Awards,Director,Gross,MPAA Rating,Users Reviews Count,Critics Reviews Count,Ratings Number
A Nightmare on Elm Street (1984),7.5,Awards,4 wins & 6 nominations,Wes Craven,"$25,565,347",R,882,241,224K
Awakenings (1990),7.8,Nominated for 3 Oscars,6 wins & 11 nominations total,Penny Marshall,"$52,096,475",PG-13,246,51,134K
A League of Their Own (1992),7.3,Awards,6 wins & 13 nominations,Penny Marshall,"$132,440,069",PG,244,66,100K
A Bronx Tale (1993),7.8,Awards,1 win & 3 nominations,Robert De Niro,"$17,287,898",R,239,56,135K
Angels in the Outfield (1994),6.2,Awards,1 win & 4 nominations,William Dear,"$50,236,831",PG,75,24,31K
A Time to Kill (1996),7.5,Awards,7 wins & 12 nominations,Joel Schumacher,"$152,266,007",R,296,86,144K
Amistad (1997),7.3,Nominated for 4 Oscars,11 wins & 43 nominations total,Steven Spielberg,"$44,229,441",R,251,92,75K
Anaconda (1997),4.8,Awards,6 wins & 11 nominations,Luis Llosa,"$136,885,767",PG-13,337,84,101K
"A Cool, Dry Place (1998)",6.2,Awards,6 wins & 11 nominations,Luis Llosa,"Jan 31, 1999",PG-13,337,84,101K
American History X (1998),8.5,Nominated for 1 Oscar,4 wins & 15 nominations total,Tony Kaye,"$23,875,127",R,1.6K,128,1.1M
Analyze This (1999),6.7,Awards,4 wins & 7 nominations,Harold Ramis,"$176,885,658",R,359,123,150K
Almost Famous (2000),7.9,Won 1 Oscar,53 wins & 103 nominations total,Cameron Crowe,"$47,386,287",R,916,171,267K
American Psycho (2000),7.6,Awards,8 wins & 13 nominations,Mary Harron,"$34,266,564",R,1.3K,324,535K
A.I. Artificial Intelligence (2001),7.2,Nominated for 2 Oscars,17 wins & 71 nominations total,Steven Spielberg,"$235,926,552",PG-13,2.2K,124,300K
Ali (2001),6.8,Nominated for 2 Oscars,10 wins & 27 nominations total,Michael Mann,2.39 : 1,R,409,179,97K
American Pie 2 (2001),6.4,Awards,8 wins & 6 nominations,J.B. Rogers,"$287,553,595",R,455,134,248K
A Beautiful Mind (2001),8.2,Won 4 Oscars,37 wins & 69 nominations total,Ron Howard,"$316,791,257",PG-13,1.3K,159,889K
Angel Eyes (2001),5.7,Awards,3 wins & 5 nominations,Luis Mandoki,"$29,715,606",R,179,88,24K
A Knight's Tale (2001),6.9,Awards,4 wins & 13 nominations,Brian Helgeland,"$117,487,473",PG-13,725,144,180K
Antwone Fisher (2002),7.3,Awards,19 wins & 22 nominations,Denzel Washington,"$23,367,586",PG-13,171,115,35K
About a Boy (2002),7.1,Nominated for 1 Oscar,11 wins & 30 nominations total,Chris Weitz,2.39 : 1,PG-13,443,155,180K
Analyze That (2002),5.9,Awards,1 win,Harold Ramis,"$55,003,135",R,149,92,84K
All About the Benjamins (2002),5.9,Awards,1 win,Harold Ramis,"$26,306,533",R,149,92,84K
Agent Cody Banks (2003),5.1,Awards,5 nominations,Harald Zwart,"$58,795,814",PG,109,82,34K
American Splendor (2003),7.4,Nominated for 1 Oscar,31 wins & 50 nominations total,Shari Springer Berman,"$7,986,084",R,232,201,49K
American Wedding (2003),6.3,Awards,3 wins & 6 nominations,Jesse Dylan,"$232,722,935",R,355,142,201K
Anger Management (2003),6.2,Awards,2 wins & 4 nominations,Peter Segal,"$195,745,823",PG-13,509,76,210K
Anchorman: The Legend of Ron Burgundy (2004),7.2,Awards,1 win & 13 nominations,Adam McKay,"$90,709,367",PG-13,638,169,343K
Alfie (2004),6.2,Awards,7 wins & 8 nominations,Charles Shyer,"$35,060,882",R,163,139,52K
A Man's Gotta Do (2004),6.6,Awards,1 win,Chris Kennedy,TV-14,TV-14,15,5,222
A History of Violence (2005),7.4,Nominated for 2 Oscars,37 wins & 84 nominations total,David Cronenberg,"$61,385,065",R,1.1K,460,231K
Are We There Yet? (2005),4.7,Awards,1 win & 8 nominations,Brian Levant,"$97,918,663",PG,176,79,31K
Accepted (2006),6.4,Awards,4 nominations,Steve Pink,"$38,623,262",PG-13,245,112,129K
Are We Done Yet? (2007),4.3,Awards,3 nominations,Steve Carr,"$58,388,068",PG,72,65,21K
Adventureland (2009),6.8,Awards,1 win & 4 nominations,Greg Mottola,"$17,164,820",R,259,256,157K
A Perfect Getaway (2009),6.5,Awards,1 nomination,David Twohy,"$22,955,544",R,284,107,71K
Avatar (2009),7.8,Won 3 Oscars,89 wins & 131 nominations total,James Cameron,"$2,847,246,203",PG-13,3.5K,481,1.2M
Alice in Wonderland (2010),6.4,Won 2 Oscars,35 wins & 63 nominations total,Tim Burton,"$1,025,468,216",PG,819,462,399K
A Nightmare on Elm Street (2010),5.2,Awards,2 wins & 11 nominations,Samuel Bayer,"$115,695,182",R,802,189,97K
A Good Old Fashioned Orgy (2011),6.1,Awards,2 wins & 11 nominations,Samuel Bayer,"$1,378,947",R,802,189,97K
A Very Harold & Kumar 3D Christmas (2011),6.3,Awards,1 nomination,Todd Strauss-Schulson,"$36,192,775",R,107,169,68K
Arena (Video 2011),4.8,Awards,1 nomination,Todd Strauss-Schulson,"$4,800",R,107,169,68K
Bloodsport (1988),6.8,Awards,1 nomination,Newt Arnold,"$11,806,119",R,284,92,82K
Henry & June (1990),6.3,Nominated for 1 Oscar,1 win & 5 nominations total,Philip Kaufman,"Oct 8, 1990",NC-17,58,35,13K
Boyz n the Hood (1991),7.8,Nominated for 2 Oscars,12 wins & 23 nominations total,John Singleton,"$57,529,070",R,258,84,134K
Billy Bathgate (1991),5.9,Awards,3 nominations,Robert Benton,"$15,565,363",R,45,31,12K
Boomerang (1992),5.6,Awards,1 win & 5 nominations,Reginald Hudlin,"$131,052,444",R,69,24,29K
Beethoven (1992),5.7,Awards,1 win & 4 nominations,Brian Levant,"$147,214,049",PG,85,26,70K
Bad Girls (1994),5.2,Awards,1 win & 4 nominations,Brian Levant,"$15,240,435",PG,85,26,70K
Boys on the Side (1995),6.5,Awards,1 win & 2 nominations,Herbert Ross,2.39 : 1,R,52,35,13K
Babe (1995),6.8,Won 1 Oscar,20 wins & 26 nominations total,Chris Noonan,"$254,134,910",G,234,53,122K
Batman Forever (1995),5.4,Nominated for 3 Oscars,10 wins & 26 nominations total,Joel Schumacher,"$336,567,158",PG-13,665,172,243K
Boogie Nights (1997),7.9,Nominated for 3 Oscars,36 wins & 64 nominations total,Paul Thomas Anderson,"$43,101,594",R,647,189,253K
Bulworth (1998),6.8,Nominated for 1 Oscar,1 win & 20 nominations total,Warren Beatty,"$29,202,884",R,241,96,26K
Bride of Chucky (1998),5.5,Awards,5 wins & 7 nominations,Ronny Yu,"$50,688,658",R,346,111,56K
Blue Streak (1999),6.3,Awards,5 wins & 7 nominations,Ronny Yu,"$117,758,500",R,346,111,56K
Bait (2000),5.8,Awards,5 wins & 7 nominations,Ronny Yu,"$15,471,969",R,346,111,56K
