Title,Rating,Oscars,Total Nominations and Awards,Director,Gross,MPAA Rating,Users Reviews Count,Critics Reviews Count,Ratings Number
Der Untergang (2004),8.2,Nominated for 1 Oscar,22 wins & 34 nominations total,Oliver Hirschbiegel,"$92,181,574",R,667,115,344K
Ghostbusters (1984),7.8,Nominated for 2 Oscars,7 wins & 8 nominations total,Ivan Reitman,2.39 : 1,PG,644,277,385K
Ace in the Hole (1951),8.1,Nominated for 1 Oscar,4 wins & 3 nominations total,Billy Wilder,"$2,300,000",Approved,198,127,34K
Network (1976),8.1,Won 4 Oscars,20 wins & 26 nominations total,Sidney Lumet,"$23,690,757",R,422,187,153K
L.A. Confidential (1997),8.2,Won 2 Oscars,91 wins & 85 nominations total,Curtis Hanson,"$126,216,940",R,772,146,557K
Mulholland Dr. (2001),7.9,Nominated for 1 Oscar,49 wins & 61 nominations total,David Lynch,"$20,416,512",R,2K,253,341K
End of Watch (2012),7.6,Awards,3 wins & 10 nominations,David Ayer,"$55,078,146",R,446,375,238K
East of Eden (1955),7.9,Won 1 Oscar,13 wins & 10 nominations total,Elia Kazan,"$24,079",PG,218,99,44K
Eternal Sunshine of the Spotless Mind (2004),8.3,Won 1 Oscar,73 wins & 111 nominations total,Michel Gondry,"$74,036,715",R,1.9K,311,957K
Shutter Island (2010),8.2,Awards,11 wins & 66 nominations,Martin Scorsese,"$294,805,697",R,1.4K,531,1.2M
Catch Me If You Can (2002),8.1,Nominated for 2 Oscars,16 wins & 46 nominations total,Steven Spielberg,"$352,114,312",PG-13,936,212,901K
The Departed (2006),8.5,Won 4 Oscars,97 wins & 141 nominations total,Martin Scorsese,"$291,465,373",R,2.4K,306,1.3M
The Lord of the Rings: The Two Towers (2002),8.7,Won 2 Oscars,126 wins & 138 nominations total,Peter Jackson,"$947,495,095",PG-13,2.6K,328,1.6M
The Third Man (1949),8.1,Won 1 Oscar,5 wins & 4 nominations total,Carol Reed,"$1,226,797",Approved,502,207,166K
The Usual Suspects (1995),8.5,Won 2 Oscars,37 wins & 17 nominations total,Bryan Singer,"$23,341,568",R,1.4K,153,1M
Life of Pi (2012),7.9,Won 4 Oscars,81 wins & 135 nominations total,Ang Lee,"$609,016,565",PG,977,575,605K
The Town (2010),7.5,Nominated for 1 Oscar,9 wins & 46 nominations total,Ben Affleck,"$154,026,136",R,544,402,371K
The Green Mile (1999),8.6,Nominated for 4 Oscars,15 wins & 37 nominations total,Frank Darabont,"$286,801,374",R,1.9K,213,1.2M
