Title,Rating,Oscars,Total Nominations and Awards,Director,Gross,MPAA Rating,Users Reviews Count,Critics Reviews Count,Ratings Number
Into the West (1992),7.0,Awards,5 wins,Mike Newell,1.66 : 1,PG,35,14,2.9K
Lucky (2011),5.4,Awards,5 wins,Mike Newell,"Jul 17, 2011",PG,35,14,2.9K
Mermaids (1990),6.7,Awards,4 wins & 1 nomination,Richard Benjamin,"$35,419,397",PG-13,74,32,30K
Not Without My Daughter (1991),6.4,Awards,2 wins & 1 nomination,Brian Gilbert,"$14,789,113",PG-13,137,18,13K
The Parking Lot Movie (2010),7.1,Awards,1 nomination,Meghan Eckman,PG,PG,16,20,2K
Things to Do in Denver When You're Dead (1995),6.8,Awards,2 wins,Gary Fleder,"$529,766",R,160,47,27K
Humboldt County (2008),6.3,Awards,2 wins,Gary Fleder,"Sep 28, 2008",R,160,47,27K
$5 a Day (2008),6.3,Awards,2 wins,Gary Fleder,Five Dollars a Day,R,160,47,27K
The African Queen (1951),7.8,Won 1 Oscar,5 wins & 8 nominations total,John Huston,"$51,357",PG,275,91,77K
A Bag of Hammers (2011),6.6,Awards,3 nominations,Brian Crano,"$2,000,000 (estimated)",Not Rated,16,26,3K
Jenseits der Stille (1996),7.5,Nominated for 1 Oscar,12 wins & 7 nominations total,Caroline Link,"$181,881",PG-13,28,40,4.3K
The Experts (1989),4.8,Nominated for 1 Oscar,12 wins & 7 nominations total,Caroline Link,"$169,203",PG-13,28,40,4.3K
Dutch (1991),6.5,Awards,1 win & 1 nomination,Peter Faiman,"$4,603,929",PG-13,58,14,12K
Grand Canyon (1991),6.8,Nominated for 1 Oscar,3 wins & 7 nominations total,Lawrence Kasdan,"$40,991,329",R,132,24,16K
Heartburn (1986),6.1,Awards,1 win & 2 nominations,Mike Nichols,"$25,314,189",R,61,20,11K
Once Around (1991),6.5,Awards,1 nomination,Lasse Hallström,"$14,851,083",R,48,17,4.2K
Nine to Five (1980),6.9,Nominated for 1 Oscar,4 wins & 7 nominations total,Colin Higgins,"$103,300,686",PG,116,53,31K
School Ties (1992),6.9,Awards,3 nominations,Robert Mandel,"$14,715,067",PG-13,99,24,24K
Sabrina (1954),7.6,Won 1 Oscar,7 wins & 8 nominations total,Billy Wilder,"$2,238,813 (estimated)",Passed,208,102,63K
Sassy Pants (2012),6.2,Awards,3 nominations,Coley Sohn,Rated R for language and some sexual references,R,6,6,1.7K
Summer School (1987),6.6,Awards,1 nomination,Carl Reiner,"$35,659,098",PG-13,83,25,19K
To Be or Not to Be (1983),6.8,Nominated for 1 Oscar,6 nominations total,Alan Johnson,"$13,030,214",PG,42,34,11K
True Confessions (1981),6.3,Awards,2 wins & 2 nominations,Ulu Grosbard,"$12,850,276",R,76,24,7.9K
Plots with a View (2002),6.6,Awards,2 wins & 1 nomination,Nick Hurran,"$1,868,949",R,40,32,4.9K
In a Day (2006),6.8,Awards,4 nominations,Evan Richards,1.85 : 1,R,40,32,4.9K
There Goes the Neighborhood (1992),5.8,Awards,4 nominations,Evan Richards,Pay Dirt,R,40,32,4.9K
Cross My Heart (1987),5.7,Awards,4 nominations,Evan Richards,"$1,025,762",R,40,32,4.9K
Rat (2000),6.0,Awards,3 nominations,Steve Barron,"Apr 29, 2001",PG,17,7,956
Raising Arizona (1987),7.3,Awards,4 nominations,Joel Coen,"$29,180,280",PG-13,334,78,134K
Rabbit Hole (2010),7.0,Nominated for 1 Oscar,7 wins & 42 nominations total,John Cameron Mitchell,"$5,144,717",PG-13,161,250,49K
The Lincoln Lawyer (2011),7.3,Awards,1 nomination,Brad Furman,"$86,752,352",R,293,287,227K
Wild Target (2010),6.8,Awards,1 nomination,Brad Furman,"$3,494,154",R,293,287,227K
Memento (2000),8.4,Nominated for 2 Oscars,57 wins & 59 nominations total,Christopher Nolan,"$40,047,078",R,2.4K,233,1.2M
The Last of the Mohicans (1992),7.7,Won 1 Oscar,7 wins & 17 nominations total,Michael Mann,"$75,505,856",R,493,91,161K
The Last Emperor (1987),7.7,Won 9 Oscars,60 wins & 22 nominations total,Bernardo Bertolucci,"$43,993,869",PG-13,189,90,99K
Insidious (2010),6.8,Awards,8 wins & 15 nominations,James Wan,"$99,557,032",PG-13,991,344,295K
Heathers (1988),7.2,Awards,3 wins & 11 nominations,Michael Lehmann,"$1,163,969",R,349,139,97K
Following (1998),7.5,Awards,5 wins & 4 nominations,Christopher Nolan,"$48,482",R,225,140,91K
8MM (1999),6.5,Awards,2 wins & 2 nominations,Joel Schumacher,"$96,618,699",R,639,122,129K
Dead Man (1995),7.6,Awards,5 wins & 14 nominations,Jim Jarmusch,"$1,037,847",R,363,119,94K
Career Opportunities (1991),5.9,Awards,5 wins & 14 nominations,Jim Jarmusch,"$11,336,986",R,363,119,94K
Rubber (2010),5.8,Awards,5 wins & 3 nominations,Quentin Dupieux,"$101,729",R,230,235,36K
Chinatown (1974),8.2,Won 1 Oscar,21 wins & 24 nominations total,Roman Polanski,"$29,225,935",R,587,162,312K
The Apostle (1997),7.2,Nominated for 1 Oscar,13 wins & 8 nominations total,Robert Duvall,"$19,868,354",PG-13,165,106,14K
The Adventures of Ford Fairlane (1990),6.4,Awards,5 wins & 3 nominations,Renny Harlin,"$21,413,502",R,123,58,18K
Bustin' Loose (1981),6.1,Awards,2 nominations,Oz Scott,"$31,261,269",R,17,11,3.2K
Greedy (1994),6.3,Awards,2 nominations,Oz Scott,"$13,137,484",R,17,11,3.2K
She-Devil (1989),5.7,Awards,1 nomination,Susan Seidelman,"$15,351,421",PG-13,75,23,17K
The Smell of Success (2009),5.2,Awards,1 nomination,Susan Seidelman,"$9,600,000 (estimated)",PG-13,75,23,17K
Senseless (1998),6.1,Awards,1 nomination,Susan Seidelman,"$12,874,899",PG-13,75,23,17K
Far Out Man (1990),5.0,Awards,1 nomination,Tommy Chong,Pasado de rosca,R,12,2,1.1K
Management (2008),5.8,Awards,1 nomination,Tommy Chong,"$2,566,648",R,12,2,1.1K
I.Q. (1994),6.2,Awards,1 nomination,Tommy Chong,"$26,381,221",R,12,2,1.1K
The Golden Child (1986),6.0,Awards,2 nominations,Michael Ritchie,"$79,817,937",PG-13,98,45,55K
Tremors (1990),7.1,Awards,5 nominations,Ron Underwood,"$16,667,084",PG-13,352,189,131K
Red Corner (1997),6.3,Awards,4 wins,Jon Avnet,"$22,459,274",R,83,38,17K
Millennium (1989),5.8,Awards,6 nominations,Michael Anderson,"$5,777,099",PG-13,79,41,6.3K
Going Berserk (1983),5.2,Awards,6 nominations,Michael Anderson,"Oct 2, 1983",PG-13,79,41,6.3K
The Thing (1982),8.1,Awards,3 nominations,John Carpenter,"$19,632,053",R,1.2K,374,398K
Easy Money (1983),6.3,Awards,3 nominations,John Carpenter,"$29,309,766",R,1.2K,374,398K
Warrior (2011),8.1,Nominated for 1 Oscar,5 wins & 22 nominations total,Gavin O'Connor,"$23,308,615",PG-13,760,348,453K
The Hunt for Red October (1990),7.6,Won 1 Oscar,3 wins & 8 nominations total,John McTiernan,"$200,512,643",PG,327,120,190K
Seeking Justice (2011),6.2,Awards,1 nomination,Roger Donaldson,"$14,089,528",R,124,131,46K
"Guns, Girls and Gambling (2012)",5.6,Awards,1 nomination,Roger Donaldson,"At, Avrat, Silah",R,124,131,46K
C'era una volta il West (1968),8.5,Awards,4 wins & 5 nominations,Sergio Leone,"$5,434,825",PG-13,784,160,317K
The Andromeda Strain (1971),7.2,Nominated for 2 Oscars,4 nominations total,Robert Wise,"$6,500,000 (estimated)",G,226,94,36K
Dylan Dog: Dead of Night (2010),5.1,Awards,1 nomination,Kevin Munroe,"$5,782,515",PG-13,78,142,15K
Time Bandits (1981),7.0,Awards,1 win & 8 nominations,Terry Gilliam,"$42,368,025",PG,215,158,62K
Men of War (1994),5.8,Awards,1 win & 8 nominations,Terry Gilliam,"$8,600,000 (estimated)",PG,215,158,62K
Star Trek II: The Wrath of Khan (1982),7.7,Awards,3 wins & 9 nominations,Nicholas Meyer,"$78,912,963",PG,421,124,117K
Star Trek III: The Search for Spock (1984),6.7,Awards,1 win & 7 nominations,Leonard Nimoy,"$76,471,046",PG,235,95,78K
Star Trek: Insurrection (1998),6.4,Awards,3 wins & 8 nominations,Jonathan Frakes,"$112,587,658",PG,543,181,73K
Star Trek: Nemesis (2002),6.4,Awards,1 win & 4 nominations,Stuart Baird,"$67,336,470",PG-13,868,191,77K
The Untouchables (1987),7.9,Won 1 Oscar,11 wins & 16 nominations total,Brian De Palma,"$76,270,454",R,570,145,297K
Terms of Endearment (1983),7.4,Won 5 Oscars,32 wins & 18 nominations total,James L. Brooks,"$108,423,749",PG,220,67,58K
Morning Glory (2010),6.5,Awards,1 win & 3 nominations,Roger Michell,"$60,040,976",PG-13,221,228,77K
For Greater Glory: The True Story of Cristiada (2012),6.6,Awards,3 wins & 9 nominations,Dean Wright,"$10,173,682",R,73,45,4.8K
The Accused (1988),7.2,Won 1 Oscar,6 wins & 5 nominations total,Jonathan Kaplan,"$32,078,318",R,121,39,34K
October Baby (2011),6.7,Awards,2 wins & 1 nomination,Andrew Erwin,"Oct 30, 2011",PG-13,89,42,7.5K
The Dream Team (1989),6.5,Awards,2 wins & 1 nomination,Andrew Erwin,"$28,890,240",PG-13,89,42,7.5K
The Manhattan Project (1986),6.2,Awards,1 win & 2 nominations,Marshall Brickman,"$3,900,000",PG-13,53,26,6K
Renegades (1989),5.4,Awards,2 nominations,Jack Sholder,"$9,015,164",R,29,14,3.5K
Rain Man (1988),8.0,Won 4 Oscars,26 wins & 23 nominations total,Barry Levinson,"$354,825,435",R,489,102,493K
Pet Sematary (1989),6.6,Awards,1 win & 6 nominations,Mary Lambert,"$57,470,138",R,381,128,100K
The Philadelphia Experiment (1984),6.1,Awards,1 win & 2 nominations,Stewart Raffill,"$8,103,330",PG,72,37,15K
Soapdish (1991),6.6,Awards,1 nomination,Michael Hoffman,"$36,489,888",PG-13,85,31,16K
Promised Land (1987),5.7,Awards,3 nominations,Michael Hoffman,"$316,199",R,15,14,1.3K
Restoration (1995),6.6,Won 2 Oscars,2 wins & 2 nominations total,Michael Hoffman,"$4,005,941",R,51,20,9.3K
Into the Wild (2007),8.1,Nominated for 2 Oscars,23 wins & 106 nominations total,Sean Penn,2.35 : 1,R,1K,250,599K
Margin Call (2011),7.1,Nominated for 1 Oscar,8 wins & 24 nominations total,J.C. Chandor,"$19,504,039",R,321,308,123K
The Paperboy (2012),5.8,Awards,5 wins & 12 nominations,Lee Daniels,"$3,783,865",R,175,254,37K
Airheads (1994),6.1,Awards,5 wins & 12 nominations,Lee Daniels,"$5,751,882",R,175,254,37K
The Cabin in the Woods (2011),7.0,Awards,20 wins & 34 nominations,Drew Goddard,"$70,055,998",R,1.3K,685,398K
Drop Dead Fred (1991),5.9,Awards,20 wins & 34 nominations,Drew Goddard,"$13,878,411",R,1.3K,685,398K
The Constant Gardener (2005),7.4,Won 1 Oscar,35 wins & 69 nominations total,Fernando Meirelles,"$82,468,097",R,615,231,137K
Return to Paradise (1998),6.9,Awards,2 nominations,Joseph Ruben,"$8,341,087",R,138,65,14K
Howl (2010),6.7,Awards,2 wins & 8 nominations,Rob Epstein,"$1,614,810",R,59,168,13K
The Pianist (2002),8.5,Won 3 Oscars,57 wins & 74 nominations total,Roman Polanski,"$120,072,577",R,1K,136,780K
Welcome to Sarajevo (1997),6.8,Awards,1 win & 2 nominations,Michael Winterbottom,"$334,319",R,60,62,7.3K
The Last Temptation of Christ (1988),7.5,Nominated for 1 Oscar,2 wins & 7 nominations total,Martin Scorsese,"$8,865,702",R,345,131,55K
Rosencrantz & Guildenstern Are Dead (1990),7.4,Awards,3 wins & 2 nominations,Tom Stoppard,"$739,104",PG,139,41,22K
The Chaperone (2011),5.1,Awards,1 nomination,Stephen Herek,"$279,147",PG-13,32,24,5.2K
Toys (1992),5.1,Nominated for 2 Oscars,12 nominations total,Barry Levinson,"$23,278,931",PG-13,175,31,32K
Religulous (2008),7.6,Awards,2 wins & 1 nomination,Larry Charles,"$13,639,115",R,372,200,59K
Stop! Or My Mom Will Shoot (1992),4.3,Awards,3 wins & 1 nomination,Roger Spottiswoode,"$70,611,210",PG-13,105,33,41K
London Boulevard (2010),6.2,Awards,1 nomination,William Monahan,"$8,307,227",R,120,128,48K
Pi (1998),7.4,Awards,8 wins & 12 nominations,Darren Aronofsky,"$3,221,152",R,632,142,175K
The Final Countdown (1980),6.7,Awards,1 win & 2 nominations,Don Taylor,"$16,647,800",PG,196,75,23K
An Officer and a Gentleman (1982),7.0,Won 2 Oscars,9 wins & 13 nominations total,Taylor Hackford,"$129,795,554",R,162,54,54K
The Boy in the Striped Pyjamas (2008),7.8,Awards,7 wins & 7 nominations,Mark Herman,"$40,416,563",PG-13,528,144,205K
"'night, Mother (1986)",7.6,Awards,2 nominations,Tom Moore,"$441,863",PG-13,46,15,2.2K
Raggedy Man (1981),6.8,Awards,2 nominations,Jack Fisk,"$1,976,198",R,15,8,1.6K
The Long Walk Home (1990),7.3,Awards,3 nominations,Richard Pearce,"$4,873,620",PG,35,12,3.8K
Goon (2011),6.8,Awards,1 win & 13 nominations,Michael Dowse,"$6,985,158",R,183,155,86K
Agnes Browne (1999),6.6,Awards,1 win & 2 nominations,Anjelica Huston,"Dec 5, 1999",R,26,37,2.1K
My Left Foot: The Story of Christy Brown (1989),7.9,Won 2 Oscars,23 wins & 20 nominations total,Jim Sheridan,"$14,743,391",R,113,56,72K
Jiro Dreams of Sushi (2011),7.9,Awards,3 wins & 12 nominations,David Gelb,"$2,692,864",PG,124,107,35K
Shakma (1990),5.0,Awards,3 wins & 12 nominations,David Gelb,"$1,500,000 (estimated)",PG,124,107,35K
Nell (1994),6.5,Nominated for 1 Oscar,5 wins & 7 nominations total,Michael Apted,"$106,683,817",PG-13,100,34,29K
The House of the Spirits (1993),6.9,Awards,12 wins,Bille August,"$6,265,311",R,94,21,22K
Colors (1988),6.7,Awards,1 win & 1 nomination,Dennis Hopper,"$46,616,067",R,82,46,26K
Boyz n the Hood (1991),7.8,Nominated for 2 Oscars,12 wins & 23 nominations total,John Singleton,"$57,529,070",R,258,84,134K
In the Name of the Father (1993),8.1,Nominated for 7 Oscars,7 wins & 41 nominations total,Jim Sheridan,"$65,796,862",R,206,64,167K
Perrier's Bounty (2009),6.4,Awards,3 nominations,Ian Fitzgibbon,"$167,938",R,35,54,6.7K
Beautiful Boxer (2003),7.2,Awards,6 wins & 7 nominations,Ekachai Uekrongtham,"$638,317",Unrated,41,52,3.2K
Ghost Dad (1990),4.4,Awards,3 nominations,Sidney Poitier,"$25,421,633",PG,33,18,7.9K
HouseSitter (1992),6.1,Awards,3 nominations,Sidney Poitier,"$94,900,635",PG,33,18,7.9K
The Evil Dead (1981),7.5,Awards,3 wins & 1 nomination,Sam Raimi,"$2,895,379",NC-17,935,378,198K
Hellraiser (1987),7.0,Awards,2 wins & 6 nominations,Clive Barker,"$14,575,526",R,470,276,114K
Ssa-i-bo-geu-ji-man-gwen-chan-a (2006),7.1,Awards,8 wins & 8 nominations,Park Chan-Wook,"$4,642,401",Not Rated,61,126,24K
Ti-kkeul-mo-a ro-maen-seu (2011),6.7,Awards,1 nomination,Jung-hwan Kim,"$2,613,917",PG-13,3,12,981
Batman: The Movie (1966),6.5,Awards,1 win,Leslie H. Martinson,"$1,377,800 (estimated)",PG,188,74,31K
Mirror Mirror (2012),5.6,Nominated for 1 Oscar,2 wins & 9 nominations total,Tarsem Singh,"$183,018,522",PG,239,392,86K
Drive (2011),7.8,Nominated for 1 Oscar,79 wins & 180 nominations total,Nicolas Winding Refn,"$77,187,281",R,1.6K,719,601K
Boksuneun naui geot (2002),7.6,Awards,7 wins & 5 nominations,Park Chan-Wook,"$2,046,061",R,154,154,66K
Chinjeolhan geumjassi (2005),7.6,Awards,12 wins & 13 nominations,Park Chan-Wook,"$23,834,149",R,173,226,76K
Hugo (2011),7.5,Won 5 Oscars,61 wins & 192 nominations total,Martin Scorsese,"$185,770,310",PG,808,713,315K
The Hunger Games (2012),7.2,Awards,33 wins & 48 nominations total,Gary Ross,"$694,394,724",PG-13,2.1K,492,880K
Fierce People (2005),6.5,Awards,33 wins & 48 nominations total,Gary Ross,"$269,755",PG-13,2.1K,492,880K
The Onion Field (1979),6.8,Awards,1 win & 3 nominations,Harold Becker,"$9,890,597",R,48,24,4.9K
Le violon rouge (1998),7.6,Won 1 Oscar,20 wins & 19 nominations total,François Girard,"$10,019,109",R,277,56,33K
Defiance (2008),7.2,Nominated for 1 Oscar,2 wins & 5 nominations total,Edward Zwick,"$51,262,751",R,276,129,144K
Le placard (2001),7.0,Awards,1 win & 1 nomination,Francis Veber,"$50,104,745",R,102,70,17K
Harry and Tonto (1974),7.4,Won 1 Oscar,4 wins & 3 nominations total,Paul Mazursky,"$980,000 (estimated)",R,73,40,5.5K
Zapped! (1982),5.0,Awards,2 nominations,Robert J. Rosenthal,"$16,897,768",R,58,42,6.8K
Orca (1977),5.7,Awards,2 nominations,Robert J. Rosenthal,"$14,717,854",R,58,42,6.8K
Gau ji (2004),6.8,Awards,3 wins & 3 nominations,Fruit Chan,"$763,552",Not Rated,39,70,9.1K
Sgt. Bilko (1996),5.8,Awards,1 win,Jonathan Lynn,"$37,956,793",PG,90,28,22K
John Dies at the End (2012),6.4,Awards,2 wins & 6 nominations,Don Coscarelli,"$141,951",R,140,318,38K
Thieves Like Us (1974),7.0,Awards,1 win,Robert Altman,"$1,125,000 (estimated)",R,44,49,4.5K
Roman Holiday (1953),8.0,Won 3 Oscars,11 wins & 17 nominations total,William Wyler,"$1,500,000 (estimated)",Passed,320,140,134K
ParaNorman (2012),7.0,Nominated for 1 Oscar,19 wins & 46 nominations total,Chris Butler,"$107,139,399",PG,226,351,99K
Streets of Fire (1984),6.7,Awards,2 wins & 1 nomination,Walter Hill,"$8,089,290",PG,218,121,20K
The Impostors (1998),6.5,Awards,1 nomination,Stanley Tucci,"$2,198,044",R,104,52,5.1K
Quigley Down Under (1990),6.9,Awards,2 wins & 1 nomination,Simon Wincer,"$21,413,105",PG-13,130,32,22K
"Play It Again, Sam (1972)",7.6,Awards,2 wins & 3 nominations,Herbert Ross,"$15,413",PG,94,59,26K
Crimes of the Heart (1986),6.4,Nominated for 3 Oscars,3 wins & 4 nominations total,Bruce Beresford,"$22,905,522",PG-13,36,15,4K
Black Gold (2011),6.7,Awards,1 nomination,Jean-Jacques Annaud,"$5,452,142",R,46,78,12K
You've Been Trumped (2011),7.5,Awards,6 wins & 2 nominations,Anthony Baxter,"$65,220",Not Rated,25,43,2.3K
Bully (2011),7.4,Awards,8 wins & 21 nominations,Lee Hirsch,"$4,411,649",PG-13,93,175,10K
8 Million Ways to Die (1986),5.8,Awards,1 nomination,Hal Ashby,"$1,305,114",R,51,43,5K
Clear and Present Danger (1994),6.9,Nominated for 2 Oscars,3 wins & 11 nominations total,Phillip Noyce,2.39 : 1,PG-13,168,55,96K
American Me (1992),7.1,Awards,1 nomination,Edward James Olmos,"$13,086,430",R,60,17,9.1K
Today's Special (2009),6.6,Awards,1 nomination,Edward James Olmos,"$317,831",R,60,17,9.1K
The Brink's Job (1978),6.5,Nominated for 1 Oscar,1 nomination total,William Friedkin,"$7,909,950",PG,23,22,3K
Cosmopolis (2012),5.1,Awards,3 wins & 14 nominations,David Cronenberg,"$7,029,095",R,227,387,46K
Sweet Liberty (1986),5.8,Awards,3 wins & 14 nominations,David Cronenberg,"$14,205,021",R,227,387,46K
Nature Calls (2012),4.0,Awards,1 nomination,Todd Rohal,$646,R,17,32,2.3K
The Company Men (2010),6.7,Awards,2 wins & 11 nominations,John Wells,"$8,087,000",R,145,150,45K
The Frighteners (1996),7.1,Awards,3 wins & 16 nominations,Peter Jackson,"$29,359,216",R,254,141,86K
The Great Waldo Pepper (1975),6.7,Awards,3 wins & 16 nominations,Peter Jackson,"$20,642,922",R,254,141,86K
The Eiger Sanction (1975),6.4,Awards,3 wins & 16 nominations,Peter Jackson,"$14,200,000",R,254,141,86K
The Paper Chase (1973),7.2,Won 1 Oscar,3 wins & 4 nominations total,James Bridges,"$1,851,898",PG,93,22,7.6K
Biutiful (2010),7.5,Nominated for 2 Oscars,21 wins & 65 nominations total,Alejandro G. Iñárritu,"$25,147,786",R,163,293,89K
The Artist (2011),7.9,Won 5 Oscars,162 wins & 204 nominations total,Michel Hazanavicius,"$133,432,856",PG-13,709,598,237K
Strategic Air Command (1955),6.4,Nominated for 1 Oscar,1 win & 1 nomination total,Anthony Mann,In geheimer Kommandosache,Approved,74,20,3.4K
The Great Gatsby (1974),6.4,Won 2 Oscars,7 wins & 3 nominations total,Jack Clayton,"$20,563,273",PG,157,49,25K
The Turning Point (1977),6.9,Nominated for 11 Oscars,11 wins & 18 nominations total,Herbert Ross,"$25,933,445",PG,36,17,4.5K
Down and Out in Beverly Hills (1986),6.2,Awards,1 win & 5 nominations,Paul Mazursky,"$62,134,225",R,55,25,18K
Stick (1985),5.7,Awards,1 win & 5 nominations,Paul Mazursky,"$8,489,518",R,55,25,18K
Reds (1981),7.3,Won 3 Oscars,22 wins & 37 nominations total,Warren Beatty,"$40,382,659",PG,146,57,22K
Taps (1981),6.8,Awards,1 nomination,Harold Becker,"$35,856,053",PG,70,28,18K
Staying Alive (1983),4.7,Awards,6 nominations,Sylvester Stallone,"$64,892,670",PG,134,24,16K
"Cry, the Beloved Country (1995)",6.8,Awards,1 win & 4 nominations,Darrell Roodt,"$670,727",PG-13,28,16,1.8K
Frankie and Johnny (1991),6.7,Awards,4 wins & 2 nominations total,Garry Marshall,"$22,773,535",R,93,34,31K
She's All That (1999),5.9,Awards,8 wins & 5 nominations,Robert Iscove,"$103,166,989",PG-13,425,74,92K
Jumanji (1995),7.0,Awards,4 wins & 11 nominations,Joe Johnston,"$262,821,940",PG,299,80,327K
Frogs (1972),4.4,Awards,1 nomination,George McCowan,"$475,265",PG,153,77,6.3K
Empire of the Ants (1977),4.2,Awards,2 nominations,Bert I. Gordon,H.G. Wells' Empire of the Ants,PG,105,87,4.7K
Eaten Alive (1976),5.5,Awards,2 nominations,Tobe Hooper,"$520,000 (estimated)",R,115,168,7.1K
Cashback (2006),7.1,Awards,3 wins,Sean Ellis,"$2,294,291",R,197,132,85K
Milyang (2007),7.5,Awards,25 wins & 15 nominations,Chang-dong Lee,"$11,581,469",Not Rated,31,93,7.9K
Chun gwong cha sit (1997),7.7,Awards,7 wins & 20 nominations,Kar-Wai Wong,"$586,139",Not Rated,31,93,7.9K
The Trip (2010),7.0,Awards,2 nominations,Michael Winterbottom,"$3,945,217",Not Rated,69,119,22K
I Hate Luv Storys (2010),5.6,Awards,1 win & 9 nominations,Punit Malhotra,"Jul 4, 2010",Not Rated,54,10,7.9K
Kites (2010),6.1,Awards,2 nominations,Anurag Basu,"May 23, 2010",Not Rated,119,39,13K
Tees Maar Khan (2010),2.6,Awards,9 wins & 4 nominations,Farah Khan,"$13,681,934",Not Rated,121,28,12K
Thoda Pyaar Thoda Magic (2008),4.9,Awards,9 wins & 4 nominations,Farah Khan,"Jun 29, 2008",Not Rated,121,28,12K
Pyaar Impossible! (2010),4.7,Awards,4 wins,Jugal Hansraj,Love Impossible!,Not Rated,23,4,3.1K
Mar adentro (2004),8.0,Won 1 Oscar,69 wins & 38 nominations total,Alejandro Amenábar,"$43,731,621",PG-13,147,161,80K
Killer Klowns from Outer Space (1988),6.2,Awards,2 nominations,Stephen Chiodo,"$2,000,000 (estimated)",PG-13,310,183,36K
Bacheha-Ye aseman (1997),8.3,Nominated for 1 Oscar,13 wins & 5 nominations total,Majid Majidi,"$933,933",PG,198,62,71K
Udaan (2010),8.2,Awards,13 wins & 13 nominations,Vikramaditya Motwane,"$434,862",Not Rated,113,29,44K
Badmaa$h Company (2010),6.0,Awards,1 nomination,Parmeet Sethi,"$64,398",Not Rated,26,9,6.8K
Albino Alligator (1996),6.1,Awards,1 nomination,Kevin Spacey,"$339,379",R,69,37,8K
Transmorphers (Video 2007),1.7,Awards,1 nomination,Kevin Spacey,"$250,000 (estimated)",R,69,37,8K
Surf Nazis Must Die (1987),3.8,Awards,1 nomination,Kevin Spacey,"$20,000 (estimated)",R,69,37,8K
Tere Bin Laden (2010),7.2,Awards,2 nominations,Abhishek Sharma,"$1,366,926",Not Rated,33,16,10K
Kurbaan (2009),5.7,Awards,5 wins & 10 nominations,Renzil D'Silva,"$1,461,611",Not Rated,49,10,5K
Kaminey (2009),7.4,Awards,9 wins & 33 nominations,Vishal Bhardwaj,"$9,610,033",Not Rated,103,15,17K
Oye Lucky! Lucky Oye! (2008),7.7,Awards,7 wins & 2 nominations,Dibakar Banerjee,"$1,976,868",Not Rated,55,14,17K
Dostana (2008),6.5,Awards,3 wins & 10 nominations,Tarun Mansukhani,"$17,779,520",Not Rated,66,12,15K
Bachna Ae Haseeno (2008),6.1,Awards,4 wins & 14 nominations,Siddharth Anand,"$11,386,430",Not Rated,36,15,11K
Jodhaa Akbar (2008),7.6,Awards,35 wins & 23 nominations,Ashutosh Gowariker,"$26,935,618",Not Rated,146,38,32K
Cú và chim se se (2007),7.4,Awards,7 wins & 3 nominations,Stephane Gauger,"$170,324",PG,10,22,938
Chak De! India (2007),8.2,Awards,32 wins & 16 nominations,Shimit Amin,"$21,505,244",Not Rated,140,69,78K
