Title,Rating,Oscars,Total Nominations and Awards,Director,Gross,MPAA Rating,Users Reviews Count,Critics Reviews Count,Ratings Number
Marvin's Room (1996),6.7,Nominated for 1 Oscar,4 wins & 13 nominations total,Jerry Zaks,"$12,803,305",PG-13,83,48,27K
Tucker and Dale vs Evil (2010),7.5,Awards,10 wins & 14 nominations,Eli Craig,"$5,224,938",R,340,349,173K
Quills (2000),7.3,Nominated for 3 Oscars,18 wins & 45 nominations total,Philip Kaufman,"$17,989,227",R,315,102,53K
The Man from Earth (2007),7.9,Awards,5 wins & 2 nominations,Richard Schenkman,"$200,000 (estimated)",Not Rated,943,83,182K
The Quest (1996),5.6,Awards,1 nomination,Jean-Claude Van Damme,"$57,400,547",PG-13,103,55,26K
The Nine Lives of Fritz the Cat (1974),5.4,Awards,1 nomination,Robert Taylor,"$1,500,000 (estimated)",R,31,19,2.7K
Airport (1970),6.6,Won 1 Oscar,5 wins & 19 nominations total,George Seaton,"$100,489,151",G,201,87,19K
Airport 1975 (1974),5.7,Awards,1 nomination,Jack Smight,"$3,000,000 (estimated)",PG,124,45,10K
Paper Man (2009),6.6,Awards,1 win,Kieran Mulroney,"$13,514",R,74,63,19K
Atlas Shrugged: Part I (2011),5.6,Awards,1 win,Paul Johansson,"$4,627,375",PG-13,334,64,14K
Bernie (2011),6.8,Awards,10 wins & 19 nominations,Richard Linklater,"$10,173,061",PG-13,175,240,59K
"Jeff, Who Lives at Home (2011)",6.5,Awards,1 nomination,Jay Duplass,"$4,704,757",R,131,182,63K
The King's Speech (2010),8.0,Won 4 Oscars,108 wins & 206 nominations total,Tom Hooper,"$427,374,317",R,792,487,660K
Butter (2011),6.2,Won 4 Oscars,108 wins & 206 nominations total,Tom Hooper,"$175,706",R,792,487,660K
Bottle Shock (2008),6.8,Awards,1 nomination,Randall Miller,"$4,629,770",PG-13,109,110,16K
Ghost (1990),7.1,Won 2 Oscars,18 wins & 23 nominations total,Jerry Zucker,"$505,703,557",PG-13,345,104,208K
Eight Men Out (1988),7.2,Awards,2 nominations,John Sayles,"$5,680,515",PG,97,48,20K
Earth Girls Are Easy (1988),5.4,Awards,3 nominations,Julien Temple,"$3,916,303",PG,101,40,23K
Flowers in the Attic (1987),5.7,Awards,1 win & 1 nomination,Jeffrey Bloom,"$15,151,736",PG-13,177,51,9.9K
"Happy, Texas (1999)",6.3,Awards,6 wins & 6 nominations,Mark Illsley,"$1,955,933",PG-13,123,79,9.9K
